Name of community,Finalist,Province or Territory,Population Based on 2016 Census,Prize category,Challenge statement,Summary,Focus areas,Community system/service areas,Technologies,URL
Saguenay,No,Quebec,145949,$ 10 million,Saguenay has been experiencing a demographic decline and an aging population for several years and wants to counter this phenomenon by creating an innovation hub based on connected technologies in order to attract businesses.,"Saguenay has been experiencing a demographic decline and an aging population for several years. According to the people of Saguenay, the best way to counter this phenomenon is to create jobs and business opportunities related to the digital sector.                               To achieve this goal, we will create an innovation hub based on connected technologies in order to attract businesses. This hub will be located in a depressed area in the downtown core of the Chicoutimi borough. Three initiatives will be required to implement the project. Saguenay will be responsible for defining the hub boundaries and the development arrangements to make the site more attractive and to facilitate active transportation. Promotion Saguenay, the city’s economic development council, will establish a digital business incubator to promote the creation of new businesses and provide support to entrepreneurs. Finally, Saguenay’s Smart City project will act as a central component by giving the hub an identity and setting up a series of events, training sessions and calls for projects. It will also act as a catalyst for engagement with citizens and stakeholders.",Economic opportunity,Arts and culture|Economic development|Education and training|Land use planning and development,Artificial intelligence (AI)|Big data analytics|Cloud computing|Geospatial|Mobile applications|Open data platforms,http://www.saguenayvi.ca/
Saint-Basile-le-Grand (group),No,Quebec,17059,$ 10 million,"Our entire community will be connected through an innovative and secure community platform that promotes social integration, mutual support and civic engagement.","Our entire community will be interconnected by an innovative and secure platform that promotes integration, mutual support and civic engagement.Facing common challenges such as social isolation, integration of newcomers, vitality of community organizations, local businesses, recreational tourism, and promotion of civic engagement, our group has decided to combine forces to tackle them. In fact, the implementation of our unique multiservice transactional platform, which is the result of an exceptional collaboration between 10 municipalities and an Aboriginal community, aims to revitalize the living environment, develop a sense of belonging and promote mutual assistance, social inclusion and collaborative economy in our communities. This system will also allow users to take advantage of a recognition and rewards program that includes enhancing cooperation and boosting local commerce and culture. The portability of this platform and its flexibility will make it accessible across Canada, even in smaller communities, which will be able to enhance it according to their respective needs. Placed at the heart of the process, the citizen becomes more than ever a vector of change in its environment and contributes to the rise of a constantly more intelligent community.",Economic opportunity|Empowerment and inclusion,Arts and culture|Economic development|Education and training|Recreation and parks|Social services|Other: please specify,Artificial intelligence (AI)|Assistive technology|Augmented reality (AR) or Virtual reality (VR)|Big data analytics|Cloud computing|Geospatial|Mobile applications,http://www.ideescollectives.ca
Saint-Constant (group),No,Quebec,27359,$ 10 million,"Our entire community will be connected through an innovative and secure community platform that promotes social integration, mutual support and civic engagement.","Our entire community will be interconnected by an innovative and secure platform that promotes integration, mutual support and civic engagement.Facing common challenges such as social isolation, integration of newcomers, vitality of community organizations, local businesses, recreational tourism, and promotion of civic engagement, our group has decided to combine forces to tackle them. In fact, the implementation of our unique multiservice transactional platform, which is the result of an exceptional collaboration between 10 municipalities and an Aboriginal community, aims to revitalize the living environment, develop a sense of belonging and promote mutual assistance, social inclusion and collaborative economy in our communities. This system will also allow users to take advantage of a recognition and rewards program that includes enhancing cooperation and boosting local commerce and culture. The portability of this platform and its flexibility will make it accessible across Canada, even in smaller communities, which will be able to enhance it according to their respective needs. Placed at the heart of the process, the citizen becomes more than ever a vector of change in its environment and contributes to the rise of a constantly more intelligent community.",Economic opportunity|Empowerment and inclusion,Arts and culture|Economic development|Education and training|Recreation and parks|Social services|Other: please specify,Artificial intelligence (AI)|Assistive technology|Augmented reality (AR) or Virtual reality (VR)|Big data analytics|Cloud computing|Geospatial|Mobile applications,http://www.ideescollectives.ca
Sainte-Catherine (group),No,Quebec,17047,$ 10 million,"Our entire community will be connected through an innovative and secure community platform that promotes social integration, mutual support and civic engagement.","Our entire community will be interconnected by an innovative and secure platform that promotes integration, mutual support and civic engagement.Facing common challenges such as social isolation, integration of newcomers, vitality of community organizations, local businesses, recreational tourism, and promotion of civic engagement, our group has decided to combine forces to tackle them. In fact, the implementation of our unique multiservice transactional platform, which is the result of an exceptional collaboration between 10 municipalities and an Aboriginal community, aims to revitalize the living environment, develop a sense of belonging and promote mutual assistance, social inclusion and collaborative economy in our communities. This system will also allow users to take advantage of a recognition and rewards program that includes enhancing cooperation and boosting local commerce and culture. The portability of this platform and its flexibility will make it accessible across Canada, even in smaller communities, which will be able to enhance it according to their respective needs. Placed at the heart of the process, the citizen becomes more than ever a vector of change in its environment and contributes to the rise of a constantly more intelligent community.",Economic opportunity|Empowerment and inclusion,Arts and culture|Economic development|Education and training|Recreation and parks|Social services|Other: please specify,Artificial intelligence (AI)|Assistive technology|Augmented reality (AR) or Virtual reality (VR)|Big data analytics|Cloud computing|Geospatial|Mobile applications,http://www.ideescollectives.ca
Sainte-Julie,No,Quebec,29881,$ 10 million,Our community will build the first WELL-certified smart citizen centre in Canada and use it to put technology to work for people and sustainable development.,"Thanks to technology and to collective and artificial intelligence, Sainte-Julie will create a connected citizen space built to the highest standards of sustainable development and human health and well-being. This space will also become a laboratory of social and environmental innovations. In this true connected pilot site data will be gathered and shared so as to develop exportable and adaptable collective well-being projects, especially at a time when climate change, an aging population and social isolation are causing upheaval in societies of all sizes.This citizen space will allow the community to take hold of technology and use it to improve quality of life, communicate with others, foster volunteer involvement, achieve entrepreneurial dreams and ambitions and revolutionize services.This project will also be a model of citizen participation thanks to an unprecedented mobilization of all stakeholders in the field, be they citizens, businesses, organizations, public services, idea incubators, etc. They will work together to make Sainte-Julie a community that offers a better living space thanks to the fluidity of its services, environmental health and protection, technology democratization and shared governance in compliance with the principles of the smart city.",Empowerment and inclusion|Environmental quality,Arts and culture|Economic development|Education and training|Emergency services and enforcement|Environment|Land use planning and development|Public health|Recreation and parks|Roads and transportation|Social services|Waste|Water and wastewater,Artificial intelligence (AI)|Assistive technology|Augmented reality (AR) or Virtual reality (VR)|Autonomous and connected vehicles|Big data analytics|Cloud computing|Enterprise solutions|Environmental monitoring|Geospatial|Health or Medical technology|Internet of Things (IoT)|Mobile applications|Networks|Open data platforms|Payment platforms|Sensors|Video analytics|Wearables,http://www.ville.sainte-julie.qc.ca
Saint-Lambert (group),No,Quebec,21861,$ 10 million,"Our entire community will be connected through an innovative and secure community platform that promotes social integration, mutual support and civic engagement.","Our entire community will be interconnected by an innovative and secure platform that promotes integration, mutual support and civic engagement.Facing common challenges such as social isolation, integration of newcomers, vitality of community organizations, local businesses, recreational tourism, and promotion of civic engagement, our group has decided to combine forces to tackle them. In fact, the implementation of our unique multiservice transactional platform, which is the result of an exceptional collaboration between 10 municipalities and an Aboriginal community, aims to revitalize the living environment, develop a sense of belonging and promote mutual assistance, social inclusion and collaborative economy in our communities. This system will also allow users to take advantage of a recognition and rewards program that includes enhancing cooperation and boosting local commerce and culture. The portability of this platform and its flexibility will make it accessible across Canada, even in smaller communities, which will be able to enhance it according to their respective needs. Placed at the heart of the process, the citizen becomes more than ever a vector of change in its environment and contributes to the rise of a constantly more intelligent community.",Economic opportunity|Empowerment and inclusion,Arts and culture|Economic development|Education and training|Recreation and parks|Social services|Other: please specify,Artificial intelligence (AI)|Assistive technology|Augmented reality (AR) or Virtual reality (VR)|Big data analytics|Cloud computing|Geospatial|Mobile applications,http://www.ideescollectives.ca
Saint-Nazaire,No,Quebec,2167,$ 10 million,"The community will develop an innovative support strategy based on virtual technology development, the revitalization of the agrifood industry, and integration with Industry 4.0, thereby attracting new families, and improving net migration, the rural lifestyle, quality of life for citizens and eco-friendly farming.","The municipality of Saint-Nazaire, Lac Saint-Jean (Quebec) is conducting an INNOVATIVE project as part of the SMART CITIES CHALLENGE.The project consists of:? Solving the problem of the lack of succession for agricultural businesses and the labour shortage in all our economic activity sectors; ? Curbing youth out-migration to major urban centres through innovative solutions; ? Encouraging the arrival of immigrants (goal: to take in the equivalent of 1% of our population annually) by setting up infrastructures to welcome and provide suitable housing in order to foster their integration in the community; ? Implement a multi-service centre to accommodate self-employed workers in an environment adapted to their needs, including new digital technologies; ? Encouraging dropouts and students to continue their education and acquire professional certification, in partnership with employers and educational institutions, by prioritizing an INNOVATIVE LOCALLY-BASED teaching structure; ? Increasing citizen interest in municipal affairs using new digital technologies to improve the quality of communications; ? Establish a physical platform for the processing of new northern and emerging crops to add value to their emerging crops and promote diversification.",Economic opportunity|Environmental quality,Economic development|Education and training|Environment|Land use planning and development|Public health|Social services|Other: please specify,Assistive technology|Augmented reality (AR) or Virtual reality (VR)|Autonomous and connected vehicles|Big data analytics|Cloud computing|Enterprise solutions|Environmental monitoring|Mobile applications|Networks|Open data platforms|Sensors|Wearables,http://ville.saint-nazaire.qc.ca/
Saint-Pierre-Jolys (group),No,Manitoba,1170,$ 5 million,"Allow communities that are dealing with demanding, constantly changing contexts to adequately respond to the needs expressed by their populations, particularly families, seniors and residents with reduced autonomy, through the use of simple, effective, flexible, evolving and affordable technological solutions that also foster economic growth in the regions.","Four small Canadian towns are approaching the Smart Cities Challenge through an overall, systematic approach, rather than a strictly local point of view for a specific and particular need. The problems faced by residents and their families are often very similar, regardless of where they live in Canada. Clearly, there are major differences between the abilities of large urban centres and those of smaller communities to address needs, to attract innovative solutions, but the problems faced by some of those populations are similar. The challenge that we are addressing is to allow communities, living in demanding and constantly changing contexts, to adequately meet the needs expressed by their residents, particularly those of families, seniors and residents with reduced autonomy, through the use of simple, effective, flexible, evolving and affordable solutions that also promote economic growth in the regions. The proposed solution focuses on the home, a Smart and Supportive Home that ensures the well-being of its occupants based on their needs. Each Smart and Supportive Home is seen as a living node in a dynamic and evolving network of a smart city taking part in establishing a network of simply connected smart cities in Canada.",Economic opportunity|Healthy living and recreation,Arts and culture|Economic development|Education and training|Emergency services and enforcement|Environment|Land use planning and development|Public health|Recreation and parks|Roads and transportation|Social services|Waste|Water and wastewater,Artificial intelligence (AI)|Assistive technology|Autonomous and connected vehicles|Big data analytics|Cloud computing|Enterprise solutions|Environmental monitoring|Geospatial|Health or Medical technology|Internet of Things (IoT)|Mobile applications|Networks|Open data platforms|Payment platforms|Sensors|Video analytics|Wearables,http://plessisville.quebec/affaires/defi-des-villes-intelligentes/
Saint-Quentin (group),No,New Brunswick,2194,$ 5 million,"Allow communities that are dealing with demanding, constantly changing contexts to adequately respond to the needs expressed by their populations, particularly families, seniors and residents with reduced autonomy, through the use of simple, effective, flexible, evolving and affordable technological solutions that also foster economic growth in the regions.","Four small Canadian towns are approaching the Smart Cities Challenge through an overall, systematic approach, rather than a strictly local point of view for a specific and particular need. The problems faced by residents and their families are often very similar, regardless of where they live in Canada. Clearly, there are major differences between the abilities of large urban centres and those of smaller communities to address needs, to attract innovative solutions, but the problems faced by some of those populations are similar. The challenge that we are addressing is to allow communities, living in demanding and constantly changing contexts, to adequately meet the needs expressed by their residents, particularly those of families, seniors and residents with reduced autonomy, through the use of simple, effective, flexible, evolving and affordable solutions that also promote economic growth in the regions. The proposed solution focuses on the home, a Smart and Supportive Home that ensures the well-being of its occupants based on their needs. Each Smart and Supportive Home is seen as a living node in a dynamic and evolving network of a smart city taking part in establishing a network of simply connected smart cities in Canada.",Economic opportunity|Healthy living and recreation,Arts and culture|Economic development|Education and training|Emergency services and enforcement|Environment|Land use planning and development|Public health|Recreation and parks|Roads and transportation|Social services|Waste|Water and wastewater,Artificial intelligence (AI)|Assistive technology|Autonomous and connected vehicles|Big data analytics|Cloud computing|Enterprise solutions|Environmental monitoring|Geospatial|Health or Medical technology|Internet of Things (IoT)|Mobile applications|Networks|Open data platforms|Payment platforms|Sensors|Video analytics|Wearables,http://plessisville.quebec/affaires/defi-des-villes-intelligentes/
Sault Ste. Marie,No,Ontario,73368,$ 10 million,We are going to reverse population decline and youth outmigration by building the Country’s most advanced youth engagement and data analytics platform which will connect our youth to their community and its opportunities and will encourage them to develop the skill sets that are required by the new economy.,"Sault Ste. Marie’s Smart City approach serves as a model to small and medium cities worldwide to engage youth in their community, provide dynamic training programs to prepare them for the new economy and provide advanced infrastructure and technology that ensures all youth have access and opportunity to maximize their potential. Addressing youth retention in the face of migration to larger metropolitan areas and aging demographics is a major challenge for smaller cities. Opportunity exists given the rapidly escalating housing costs and congestion in major centres versus an affordable and appealing quality of life in smaller communities . This is supported with the capability to work remotely and ability to address skills shortages across a wide variety of industries. These facts create a real opportunity to invest and engage youth to achieve success. This smart cities project presents the opportunity to harness advanced training platforms, smart phone applications, municipal wi-fi, on-demand transit, open data and data analytics in order to modernize the delivery of youth services. More importantly, it provides a way for communities to meaningfully engage their youth in the design of programs, spaces and solutions for their community that will engender a connection and passion for their community’s future.",Economic opportunity|Empowerment and inclusion,Arts and culture|Economic development|Education and training|Environment|Public health|Recreation and parks,Augmented reality (AR) or Virtual reality (VR)|Autonomous and connected vehicles|Big data analytics|Cloud computing|Enterprise solutions|Geospatial|Mobile applications|Networks|Open data platforms|Other: Please specify,http://saultstemarie.ca/smartcities
Sherbrooke,No,Quebec,161323,$ 10 million,"Since Sherbrooke is the city with the second lowest family income in Canada, it must attract and retain more talent and value-added businesses by revitalizing its living environment and remaking its downtown into a creative, connected, innovative and inclusive place for businesses, workers and residents to converge.","With the second lowest family income in Canada, Sherbrooke must attract and retain more  talent and value-added businesses by revitalizing its living environment and its downtown area, which is still a weak sector, to make it a creative, connected, innovative and inclusive place for businesses, workers and residents to converge. Sherbrooke, the sixth largest city in Quebec with a population of 161,323 persons, has built up a place on the national and international scene by remaining in the vanguard of social, economic and technological advances over the years. Despite several strategic assets – presence of 40,000 local and international postsecondary students, a large number of immigrant professionals, a very active arts community, more than 100 research groups and so on – Sherbrooke has not yet been able to capitalize on the latter to increase the incomes of its residents and, more broadly, increase its economic vitality. One clear, observation for the community: reconnecting the downtown to the university centres, that is, reconnecting the heart of the city with the ""brains"" is key. Our downtown will come back to life with the creativity, innovation and spirt of entrepreneurship demonstrated by our graduates. ",Economic opportunity|Empowerment and inclusion,Arts and culture|Economic development|Education and training|Emergency services and enforcement|Environment|Land use planning and development|Public health|Recreation and parks|Roads and transportation|Social services|Waste|Water and wastewater,Artificial intelligence (AI)|Augmented reality (AR) or Virtual reality (VR)|Autonomous and connected vehicles|Big data analytics|Cloud computing|Enterprise solutions|Environmental monitoring|Geospatial|Internet of Things (IoT)|Mobile applications|Networks|Open data platforms|Payment platforms|Sensors|Video analytics|Wearables,https://www.ville.sherbrooke.qc.ca/citoyen/defi-des-villes-intelligentes/
South-West Oxford/Oxford County (group),No,Ontario,7664,$ 10 million,"Healthy, energy efficient, affordable buildings - where we live, work and play -  are fundamental to community well-being. Through enhancement of data and technology, Oxford County's Building Transformation project will demonstrate a minimum 10% improvement in  occupant health, a 50% reduction in energy consumption, and an overall affordability improvement of 10%.","Our approach to a Smart Community is based on the premise that our citizens spend most of their time within, or moving between the built environment, and we can most effectively connect with our citizens by providing education and awareness, while concurrently improving the built environment in which they spend most of their lives.Starting with energy modelling and high-performance building design, we will demonstrate how an enhanced built-environment can help reduce poverty, improve health, and enable the development of key services that improve quality of life for our most vulnerable.Through our partnership with Western University, multiple data streams from three Building Transformation projects will enable us to identify building performance success and failure outcomes, leading to opportunities for improvement. This information will empower building occupants to make decisions to improve to their own comfort and affordability outcomes, while enabling economic opportunities with our community, by developing new supply chain and innovative research applications. Oxford believes a Smart City is a Sustainable City. Shaped by our community for our community, the Future Oxford Community Sustainability Plan outlines our community’s vision of a vibrant, prosperous and responsible Oxford for all by achieving community sustainability throughout Oxford. ",Empowerment and inclusion|Healthy living and recreation,Arts and culture|Economic development|Education and training|Environment|Land use planning and development|Public health|Roads and transportation|Social services|Waste|Other: please specify,Artificial intelligence (AI)|Big data analytics|Cloud computing|Environmental monitoring|Geospatial|Health or Medical technology|Internet of Things (IoT)|Mobile applications|Open data platforms|Sensors,http://www.oxfordcounty.ca/smartcities
St. John's,No,Newfoundland and Labrador,205955,$ 10 million,"An integrated mobility network will get people of all ages and abilities moving more freely around rugged, wet, and windy St. John's, shifting us away from the passive transportation culture that is making us sick and, by 2024, increasing the share of sustainable and active transportation commuter trips by 40%.","St. John’s has a mobility problem. A combination of challenging hills, some of Canada’s worst weather, and extensive sprawl has created a city – and a culture – dominated by the private car and hostile (or at best, indifferent) to active and sustainable transportation. This version of mobility excludes huge segments of the city’s population – seniors, people with disabilities, people living with low income, and the many people of all ages who would rather get around differently. An integrated mobility network will change that.The network we plan for St. John’s will implement many new data-collection tools including measures of transit access, cyclist tracking apps, and ways of leveraging transit smart card data.  Open beacons will build an understanding of the movement of people who are near the network and don’t use it, and sensors will provide street-level data on ice conditions to facilitate active transportation in all seasons. At the same time, we will be implementing improvements to our transit and active-transportation infrastructure that leverages this data to speed trips and improve user experience.Taken together, this will build a city where our citizens will be more free to move the way they want to move.",Healthy living and recreation|Mobility,Economic development|Environment|Land use planning and development|Public health|Recreation and parks|Roads and transportation,Artificial intelligence (AI)|Assistive technology|Autonomous and connected vehicles|Big data analytics|Geospatial|Health or Medical technology|Internet of Things (IoT)|Mobile applications|Networks|Open data platforms|Payment platforms|Sensors|Video analytics|Wearables,http://www.stjohns.ca/publications/smart-cities-challenge-application
St. Mary's (group),No,Newfoundland and Labrador,347,$ 5 million,"Faced with aging demographics and declining economic activity, our communities will rally together to create opportunities for self-reliance and inclusion in the ever-growing tourism industry.","The Key to the Irish Loop is an ambitious pursuit to use technology to capitalize on the geo-cultural assets of a region faced with dire economic decline.Our region is facing a rapidly aging and declining population with fewer opportunities at economic self-reliance. To compound matters, the region is technologically behind the rest of the country and lacks even the basic infrastructure for connectivity. The area struggles with internet speeds and availability of broadband and also does without adequate cell coverage – a hindrance to economic development and quality of live in this decade. This project ensures that all residents and visitors will have access to the internet through the installation of the infrastructure needed and immediately using said infrastructure to plug into the growing tourism sector. The Key provides a platform from which visitors can access and interact with the region’s offerings while simultaneously providing the region with reliable data in which to make informed decisions on economic development initiatives. The region, in responding to this newfound data, can adapt and overcome its challenges by aligning digital training and development with the needs of the tourism sector. We will finally unlock this opportunity and alter course towards prosperity. ",Economic opportunity|Empowerment and inclusion,Arts and culture|Economic development|Education and training|Recreation and parks,Artificial intelligence (AI)|Assistive technology|Augmented reality (AR) or Virtual reality (VR)|Big data analytics|Enterprise solutions|Environmental monitoring|Geospatial|Internet of Things (IoT)|Mobile applications|Networks|Open data platforms|Payment platforms|Sensors|Video analytics|Wearables,http://irishloopkey.ca/
St. Vincent's - St. Stephen's - Peter's River (group),No,Newfoundland and Labrador,313,$ 5 million,"Faced with aging demographics and declining economic activity, our communities will rally together to create opportunities for self-reliance and inclusion in the ever-growing tourism industry.","The Key to the Irish Loop is an ambitious pursuit to use technology to capitalize on the geo-cultural assets of a region faced with dire economic decline.Our region is facing a rapidly aging and declining population with fewer opportunities at economic self-reliance. To compound matters, the region is technologically behind the rest of the country and lacks even the basic infrastructure for connectivity. The area struggles with internet speeds and availability of broadband and also does without adequate cell coverage – a hindrance to economic development and quality of live in this decade. This project ensures that all residents and visitors will have access to the internet through the installation of the infrastructure needed and immediately using said infrastructure to plug into the growing tourism sector. The Key provides a platform from which visitors can access and interact with the region’s offerings while simultaneously providing the region with reliable data in which to make informed decisions on economic development initiatives. The region, in responding to this newfound data, can adapt and overcome its challenges by aligning digital training and development with the needs of the tourism sector. We will finally unlock this opportunity and alter course towards prosperity. ",Economic opportunity|Empowerment and inclusion,Arts and culture|Economic development|Education and training|Recreation and parks,Artificial intelligence (AI)|Assistive technology|Augmented reality (AR) or Virtual reality (VR)|Big data analytics|Enterprise solutions|Environmental monitoring|Geospatial|Internet of Things (IoT)|Mobile applications|Networks|Open data platforms|Payment platforms|Sensors|Video analytics|Wearables,http://irishloopkey.ca/
Strathcona County,No,Alberta,98044,$ 10 million,"“Feel Connected and Included”Citizens will have access to a trusted community platform that connects them to programs, services and each other to increase the feeling of safety, inclusion and connectedness.","Strathcona County proposes a smart “Community Digital Hub” – a smart platform that integrates programs, services, and events from various partner organizations across sectors. It will provide a centralized location for citizens to find information, get involved in community activities, and access programs and services to ultimately increase their sense of connectedness and inclusion within the community. Furthermore, the Community Digital Hub will leverage data and cognitive technologies to predict citizen needs and help the County move into a more proactive form of planning, enabling Strathcona County to become a truly “smart” county. The Smart Community Platform is powered by smart technology and designed using co-creation and human-centered principles. .  The platform aims to:- connect citizens with each other: citizens feel connected with one another and the community by engaging in services and events through which meaningful connections are fostered.- connect program and service offerings: integrated one-stop shop for citizens to connect with programs and services offered not only by Strathcona County, but by community partners, and businesses.- create a smart data hub: data collected will be made available on an Open Data Portal accessible publicly- enable the county of the future: data will be leveraged to inform decisions and smart planning.",Empowerment and inclusion|Safety and security,Arts and culture|Economic development|Education and training|Emergency services and enforcement|Recreation and parks|Roads and transportation|Social services,Artificial intelligence (AI)|Big data analytics|Cloud computing|Geospatial|Internet of Things (IoT)|Mobile applications|Networks|Open data platforms|Payment platforms|Sensors,https://www.strathcona.ca/council-county/administration/departments/information-technology-services/smart-cities-challenge
The City of Calgary,No,Alberta,1239220,$ 50 million,"Calgary will revolutionize to become Canada’s most inclusive and resilient community by connecting all Calgarians, enabling access to the services, supports and information they need to be engaged and lead fulfilling lives AND increasing economic diversification to create more job opportunities.","Calgary is at a transformational period in its history. We are working to create shared social and economic prosperity for our citizens, providing opportunities for people to empower themselves and increase access to our economy through employment and education. We are a community that cares, and in collaboration with our community partners, we will work to ensure that all Calgarians have equal opportunity to access information and services and are connected to the tools they need to fully participate in our community. Having engaged residents creates a vibrant community, one where individuals are able to live their best life. Our human-centered design approach puts Calgarians at the core of the conversation to ensure solutions are matched to their needs. Through increased connectivity, open and transparent access to information and services and more opportunity for economic participation, we will ensure that Calgarians have the opportunity to make an affordable living and lead fulfilling lives.The Calgary community is committed and ready to take our smart city agenda to the next level. The future is here and Calgary is ready.",Economic opportunity|Empowerment and inclusion,Economic development|Education and training|Emergency services and enforcement|Land use planning and development|Public health|Recreation and parks|Roads and transportation|Social services,Artificial intelligence (AI)|Augmented reality (AR) or Virtual reality (VR)|Autonomous and connected vehicles|Big data analytics|Cloud computing|Geospatial|Health or Medical technology|Internet of Things (IoT)|Mobile applications|Networks|Open data platforms|Sensors|Other: Please specify,http://www.calgary.ca/smartcity
The City of Red Deer,No,Alberta,100418,$ 10 million,"Provide residents and visitors anticipatory navigation to activities, sites and amenities to increase the engagement and participation in our community.","The City of Red Deer is ready to continue on its road to being a Smart City.  We have clear direction from our residents, internal skill and experience, support from our Council, administration and community partners. We live in a world where Amazon can recommend the next book for me to read based on my past behaviour. I can get a golf club custom built for a not so optimal swing. All these are applications of ‘big data’ that we experience every day. So why can’t my municipality anticipate the museum programs that would interest me or help maintain my fitness by encouraging me to try a tougher running path or provide information access through the device I choose? Red Deer believes that we can, through a challenging but achievable program that will be based on a platform to collect, analyze and use behavioural data from our residents to enhance the use of City services and amenities.We relish in the opportunity to share our plan - one driven by our residents, aligned to our long-term strategy and targeted at the continued development of a Red Deer that meets our vision of Innovative Thinking / Inspired Results / Vibrant Community.",Economic opportunity|Healthy living and recreation,Arts and culture|Economic development|Recreation and parks,Artificial intelligence (AI)|Assistive technology|Big data analytics|Geospatial|Internet of Things (IoT)|Mobile applications|Networks|Open data platforms|Sensors|Video analytics|Wearables,http://www.reddeer.ca/smartcities
The City of Toronto,No,Ontario,2731571,$ 50 million,"We will significantly reduce poverty among children living in older high-rise rental communities by empowering 100% of their families with the digital tools necessary for a more prosperous future: high-speed internet access, the means to increase digital literacy and a smart platform to connect to enhanced economic opportunities.","Over half a million Torontonians live in older, high-rise rental communities, consisting of nearly 1,200 ageing buildings. These buildings are home to a significant number of low-income families and their 47,000 children. These children are an important part of Toronto's future.These communities are physically isolated from many jobs and opportunities. They are often devoid of services such as child-care, health care or programs linking residents with opportunities and the city at large. As a result, residents experience barriers to employment, education and training, social and cultural opportunities.Even more concerning is that many residents in these communities are digitally isolated. This is due to a lack of affordable high-speed Internet access and low levels of digital knowledge and skills required to take full advantage of the rapidly changing digitally-focused economy.Our proposal is to provide all of these families: access to high-speed Internet, the means to improve digital literacy and a smart, community-focused, digital platform. This platform will make connections between residents and economic opportunities, allow us to understand the needs of the people in these communities, and measure outcomes and success.Ultimately, we will significantly reduce child poverty within these high-rise communities. ",Economic opportunity|Empowerment and inclusion,Arts and culture|Economic development|Education and training|Public health|Recreation and parks|Roads and transportation|Social services|Other: please specify,Artificial intelligence (AI)|Autonomous and connected vehicles|Big data analytics|Cloud computing|Enterprise solutions|Internet of Things (IoT)|Mobile applications|Networks|Open data platforms|Sensors|Other: Please specify,http://www.toronto.ca/smartcitieschallenge
Tillsonburg/Oxford County (group),No,Ontario,15872,$ 10 million,"Healthy, energy efficient, affordable buildings - where we live, work and play -  are fundamental to community well-being. Through enhancement of data and technology, Oxford County's Building Transformation project will demonstrate a minimum 10% improvement in  occupant health, a 50% reduction in energy consumption, and an overall affordability improvement of 10%.","Our approach to a Smart Community is based on the premise that our citizens spend most of their time within, or moving between the built environment, and we can most effectively connect with our citizens by providing education and awareness, while concurrently improving the built environment in which they spend most of their lives.Starting with energy modelling and high-performance building design, we will demonstrate how an enhanced built-environment can help reduce poverty, improve health, and enable the development of key services that improve quality of life for our most vulnerable.Through our partnership with Western University, multiple data streams from three Building Transformation projects will enable us to identify building performance success and failure outcomes, leading to opportunities for improvement. This information will empower building occupants to make decisions to improve to their own comfort and affordability outcomes, while enabling economic opportunities with our community, by developing new supply chain and innovative research applications. Oxford believes a Smart City is a Sustainable City. Shaped by our community for our community, the Future Oxford Community Sustainability Plan outlines our community’s vision of a vibrant, prosperous and responsible Oxford for all by achieving community sustainability throughout Oxford. ",Empowerment and inclusion|Healthy living and recreation,Arts and culture|Economic development|Education and training|Environment|Land use planning and development|Public health|Roads and transportation|Social services|Waste|Other: please specify,Artificial intelligence (AI)|Big data analytics|Cloud computing|Environmental monitoring|Geospatial|Health or Medical technology|Internet of Things (IoT)|Mobile applications|Open data platforms|Sensors,http://www.oxfordcounty.ca/smartcities
Town of Amherstburg/County of Essex (group),No,Ontario,21936,$ 10 million,"We will build a bridge to prosperity for all residents of Windsor-Essex by leveraging partnerships, community resources and smart technologies that connect families to educational, employment, and health supports required to move our region’s child poverty rate below the national average in 10 years.","Windsor-Essex and its communities have recognized childhood poverty as a complex challenge influenced by multiple social and economic drivers in our region. We will build a bridge to prosperity for all residents of Windsor-Essex by leveraging partnerships, community resources and smart technologies that connect families to educational, employment, and health supports required to move our region’s child poverty rate below the national average in 10 years. We propose to apply a combination of targeted technology solutions to achieve multiple positive outcomes of enhanced nutrition, access to education, development of in-demand skills and belonging to deliver for a fully integrated approach to this complex issue. We look forward to working with our communities to improve the prospects and wellbeing of our future generations.",Economic opportunity|Empowerment and inclusion,Economic development|Education and training|Emergency services and enforcement|Public health|Roads and transportation|Social services,Artificial intelligence (AI)|Assistive technology|Augmented reality (AR) or Virtual reality (VR)|Autonomous and connected vehicles|Big data analytics|Cloud computing|Enterprise solutions|Environmental monitoring|Geospatial|Health or Medical technology|Internet of Things (IoT)|Mobile applications|Networks|Open data platforms|Payment platforms|Sensors|Video analytics,https://www.smartwindsoressex.ca/
